Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,PRS,TEM,RHU,PWV,VAP
57544,2025-06-03 02:00:00,29.4583,109.4433,485.4,湘西土家族苗族自治州,龙山,龙山县,955.2,21.2,85,40.4,21.390293363181534
57554,2025-06-03 02:00:00,29.4011,110.1622,318.8,张家界市,桑植,桑植县,972.9,21.5,85,42.4,21.78755414429706
57558,2025-06-03 02:00:00,29.1183,110.4172,218.5,张家界市,张家界,永定区,984.1,22.9,80,45.2,22.332447834385583
57562,2025-06-03 02:00:00,29.5833,111.3633,119,常德市,石门,石门县,995.0,25.0,70,41.1,22.17200605331099
57564,2025-06-03 02:00:00,29.4317,111.0892,168.7,张家界市,慈利,慈利县,988.6,24.0,82,40.3,24.462685299508795
57565,2025-06-03 02:00:00,29.6669,111.7253,40.2,常德市,澧县,澧县,1004.1,25.2,74,41.2,23.720222850426783
57566,2025-06-03 02:00:00,29.4692,111.67,86,常德市,临澧,临澧县,998.4,24.3,80.0,41.622003696602725,24.299966011283402
57574,2025-06-03 02:00:00,29.3517,112.4317,40.3,益阳市,南县,南县,1004.2,25.4,79.0,51.406950272019316,25.626336673538123
57575,2025-06-03 02:00:00,29.525,112.5567,49.4,岳阳市,华容,华容县,1003.1,25.7,67,39.7,22.12475219195579
57577,2025-06-03 02:00:00,29.4103,112.205,42.2,常德市,安乡,安乡县,1004.8,25.3,72,40.5,23.21703196170592
57584,2025-06-03 02:00:00,29.3808,113.088,52.7,岳阳市,岳阳,岳阳楼区,1003.0,24.3,79,37.9,23.996216436142358
57585,2025-06-03 02:00:00,29.4814,113.4478,64,岳阳市,临湘,临湘市,1001.7,25.4,60,36.9,19.46304051154794
57587,2025-06-03 02:00:00,29.1914,113.1092,48.4,岳阳市,洞庭湖,岳阳县,1003.1,24.1,80.0,36.928339860372304,24.00991818748099
57640,2025-06-03 02:00:00,28.5364,109.4625,532.8,湘西土家族苗族自治州,花垣,花垣县,949.6,21.1,81.0,44.08355882420674,20.258854909691394
57642,2025-06-03 02:00:00,28.6808,109.6481,438.1,湘西土家族苗族自治州,保靖,保靖县,960.3,21.2,85.0,47.06901158711736,21.390293363181534
57643,2025-06-03 02:00:00,29.0083,109.8383,272.6,湘西土家族苗族自治州,永顺,永顺县,978.8,22.0,83,42.9,21.93547665305786
57646,2025-06-03 02:00:00,28.6222,109.9469,318,湘西土家族苗族自治州,古丈,古丈县,973.3,23.2,84,44.4,23.87897888824926
57649,2025-06-03 02:00:00,28.2381,109.6825,253.6,湘西土家族苗族自治州,吉首,吉首市,980.3,21.9,83,47.1,21.8019426463677
57655,2025-06-03 02:00:00,28.4633,110.4031,151.6,怀化市,沅陵县,沅陵县,992.2,22.0,88,44.6,23.25689090926617
57657,2025-06-03 02:00:00,28.21,110.2286,216.4,湘西土家族苗族自治州,泸溪,泸溪县,984.7,21.7,95.0,55.71374150693341,24.650795549129338
57658,2025-06-03 02:00:00,28.0069,110.1928,155.3,怀化市,辰溪,辰溪县,992.0,22.1,83,47.9,22.06972706027966
57661,2025-06-03 02:00:00,28.9133,111.4797,51.1,常德市,桃源,桃源县,1003.4,25.2,75,41.8,24.040766402459575
