Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,PRS,TEM,RHU,PWV,VAP
57249,2025-06-03 11:00:00,32.3244,109.6889,448.2,十堰市,竹溪,竹溪县,956.6,25.3,71.0,38.50650000000002,22.894573184460004
57251,2025-06-03 11:00:00,33.0033,110.4083,321.2,十堰市,郧西,郧西县,970.4,26.8,57.0,28.6,20.087537896185555
57253,2025-06-03 11:00:00,32.84,110.8669,244.8,十堰市,郧阳,郧阳区,978.2,27.5,55.0,35.26499999999996,20.196276019077978
57256,2025-06-03 11:00:00,32.6553,110.7728,290.2,十堰市,十堰,张湾区,973.6,27.7,47.0,26.7,17.46189870683631
57257,2025-06-03 11:00:00,32.2256,110.2261,308.4,十堰市,竹山,竹山县,972.6,23.2,64.0,30,18.19350772438039
57259,2025-06-03 11:00:00,32.0511,110.7475,429.5,十堰市,房县,房县,959.0,25.5,62.0,30.1,20.23179598709925
57260,2025-06-03 11:00:00,32.5417,111.4531,248.4,十堰市,丹江口,丹江口市,977.8,26.7,56.0,35.90450000000004,19.619203081737083
57264,2025-06-03 11:00:00,32.4261,111.0153,1017.5,十堰市,武当山,丹江口市,896.5,21.0,69.0,26.839999999999986,17.151772543760714
57265,2025-06-03 11:00:00,32.4319,111.7319,132.1,襄阳市,老河口,老河口市,990.9,27.5,58.0,38.46300000000004,21.297891074664044
57268,2025-06-03 11:00:00,32.2718,111.6211,124.2,襄阳市,谷城,谷城县,992.1,28.2,54.0,31.2,20.656993418893638
57278,2025-06-03 11:00:00,32.0031,112.0765,166.1,襄阳市,襄阳,襄城区,987.6,26.3,56.0,25.6,19.16144802958148
57279,2025-06-03 11:00:00,32.1614,112.7767,136.5,襄阳市,枣阳,枣阳市,990.2,27.5,55.0,25.8,20.196276019077978
57351,2025-06-03 11:00:00,30.8333,111.0167,231,宜昌市,坛子岭,夷陵区,981.3,24.3,67.0,45.3775,20.35122153444985
57352,2025-06-03 11:00:00,30.8092,111.0003,185.3,宜昌市,三斗坪,夷陵区,986.3,24.9,64.0,45.35150000000001,20.150878253607637
57353,2025-06-03 11:00:00,30.8378,111.0164,191.8,宜昌市,苏家坳,夷陵区,985.7,25.7,61.0,45.58100000000004,20.14343110013885
57354,2025-06-03 11:00:00,31.4558,110.2711,2948.1,省直辖县级行政区划,神农顶,神农架林区,714.0,7.5,67.0,11.032000000000009,6.943212287586052
57355,2025-06-03 11:00:00,31.0483,110.35,337.5,恩施土家族苗族自治州,巴东,巴东县,969.8,23.4,75.0,37.11450000000005,21.579826950484314
57358,2025-06-03 11:00:00,30.8303,110.9639,295.5,宜昌市,秭归,秭归县,973.7,25.0,64.0,41.245000000000026,20.271548391598625
57359,2025-06-03 11:00:00,31.3453,110.7417,336.8,宜昌市,兴山,兴山县,969.6,23.8,71.0,36.884,20.927720702779443
