Station_Id_C,Datetime,Station_Name,City,Cnty,Lat,Lon,Alti,PRS,TEM,RHU,VAP,PWV
57264,2025-06-03 07:00:00,武当山,十堰市,丹江口市,32.4261,111.0153,1017.5,897.0,22.5,71,19.344470184612213,41.43299999999996
57351,2025-06-03 07:00:00,坛子岭,宜昌市,夷陵区,30.8333,111.0167,231.0,981.5,26.5,55,19.04290952520229,43.83049999999997
57352,2025-06-03 07:00:00,三斗坪,宜昌市,夷陵区,30.8092,111.0003,185.3,986.6,26.7,58,20.31988890608483,45.37350000000001
57353,2025-06-03 07:00:00,苏家坳,宜昌市,夷陵区,30.8378,111.0164,191.8,985.9,26.2,57,19.38863089317645,43.07400000000001
57354,2025-06-03 07:00:00,神农顶,省直辖县级行政区划,神农架林区,31.4558,110.2711,2948.1,714.0,10.7,43,5.529317937802738,9.632500000000013
57367,2025-06-03 07:00:00,大老岭,宜昌市,夷陵区,31.0836,110.9406,1910.0,808.2,17.0,41,7.938977839787716,14.005000000000006
57451,2025-06-03 07:00:00,绿葱坡,恩施土家族苗族自治州,巴东县,30.8131,110.2539,1813.5,818.0,16.5,58,10.879630299639588,21.6425
Q0004,2025-06-03 07:00:00,沪渝K1464,恩施土家族苗族自治州,利川市,30.2789,108.8711,1082.2,887.4,22.5,47,12.805494347560195,21.435499999999976
Q0005,2025-06-03 07:00:00,沪渝K1439,恩施土家族苗族自治州,利川市,30.2444,109.1197,1131.4,883.4,20.0,76,17.76079813788897,32.358499999999964
Q0007,2025-06-03 07:00:00,沪渝K1412,恩施土家族苗族自治州,恩施市,30.2389,109.3664,706.7,927.6,23.5,70,20.26314719387271,40.21799999999997
Q0008,2025-06-03 07:00:00,沪渝K1407,恩施土家族苗族自治州,巴东县,30.2439,109.4128,545.1,944.1,24.3,67,20.35122153444985,39.41049999999998
Q0010,2025-06-03 07:00:00,沪渝K1375,恩施土家族苗族自治州,恩施市,30.4114,109.5864,729.9,924.6,24.1,65,19.508058527328306,40.161500000000096
Q0011,2025-06-03 07:00:00,沪渝K1369,恩施土家族苗族自治州,恩施市,30.455,109.6258,624.1,935.4,24.9,58,18.26173341733192,30.68699999999997
Q0013,2025-06-03 07:00:00,沪渝K1351,恩施土家族苗族自治州,恩施市,30.4628,109.7828,780.1,918.7,23.3,65,18.58985149808837,32.764999999999986
Q0014,2025-06-03 07:00:00,沪渝K1343,恩施土家族苗族自治州,恩施市,30.4997,109.8508,903.4,906.1,23.0,65,18.255415119789404,32.754999999999974
Q0015,2025-06-03 07:00:00,沪渝K1336,恩施土家族苗族自治州,建始县,30.55,109.8914,879.8,908.2,22.3,67,18.033808903462603,31.919500000000014
Q0017,2025-06-03 07:00:00,沪渝K1313,恩施土家族苗族自治州,巴东县,30.6506,110.0908,794.9,917.2,22.8,64,17.757929327942822,30.6275
Q0019,2025-06-03 07:00:00,沪渝K1305,恩施土家族苗族自治州,巴东县,30.6308,110.1639,865.2,909.7,23.9,49,14.530280101573204,25.407
Q0021,2025-06-03 07:00:00,沪渝K1291,恩施土家族苗族自治州,巴东县,30.6119,110.3097,1104.2,885.1,22.5,46,12.533037021016364,27.5055
Q0022,2025-06-03 07:00:00,沪渝k1283,恩施土家族苗族自治州,恩施市,30.6217,110.3864,923.0,924.3,23.2,59,16.77213993341317,33.996000000000045
Q0023,2025-06-03 07:00:00,秭归k48,宜昌市,市辖区,30.6325,111.3253,62.7,996.6,28.1,54,20.536900408826916,35.24600000000001
Q0026,2025-06-03 07:00:00,沪渝K1262,宜昌市,长阳土家族自治县,30.6247,110.6047,597.8,937.4,24.8,56,17.526982617881064,33.57699999999999
Q0028,2025-06-03 07:00:00,沪渝K1179,宜昌市,市辖区,30.5711,111.4003,54.9,998.2,28.2,55,21.03953033405833,36.18850000000005
Q0030,2025-06-03 07:00:00,沪渝K1208,宜昌市,长阳土家族自治县,30.5589,111.1281,241.9,980.4,27.1,63,22.5973030629608,40.165499999999966
Q0032,2025-06-03 07:00:00,沪渝K1097,荆州市,荆州区,30.3922,112.195,25.4,1002.8,28.5,45,17.517468122843017,23.387
Q0033,2025-06-03 07:00:00,沪渝K1069,荆州市,荆州区,30.3353,112.4733,25.4,1003.5,28.3,52,20.008155120887476,30.000000000000032
Q0034,2025-06-03 07:00:00,沪渝K1065,省直辖县级行政区划,潜江市,30.3383,112.5164,24.4,1003.1,28.3,55,21.162471762477136,36.0595
Q0037,2025-06-03 07:00:00,沪渝K933,武汉市,蔡甸区,30.4533,113.8225,17.0,1003.8,27.7,60,22.291785583195285,42.771
Q0039,2025-06-03 07:00:00,沪渝k959,省直辖县级行政区划,仙桃市,30.3486,113.5853,15.2,1003.7,28.0,61,23.06412020301482,40.395500000000034
Q0040,2025-06-03 07:00:00,沪渝K982,省直辖县级行政区划,仙桃市,30.3631,113.3619,9.0,1004.2,27.7,61,22.663315342915208,43.7935
Q0047,2025-06-03 07:00:00,黄黄785,黄冈市,浠水县,30.2406,115.1297,19.8,1004.7,28.9,50,19.921259698715836,34.30600000000002
Q0049,2025-06-03 07:00:00,黄黄K761,黄冈市,蕲春县,30.1353,115.33,21.4,1004.4,28.5,56,21.79951588620465,44.36149999999995
Q0050,2025-06-03 07:00:00,黄黄K742,黄冈市,武穴市,30.0289,115.4664,41.4,1002.4,28.5,56,21.79951588620465,29.4995
Q0051,2025-06-03 07:00:00,黄黄K730,黄冈市,武穴市,30.0039,115.5917,38.0,1003.3,27.9,57,21.426240067217403,26.121000000000027
Q0052,2025-06-03 07:00:00,黄黄K722,黄冈市,武穴市,30.0161,115.6708,42.5,1001.8,27.7,55,20.43413678459568,32.583499999999994
Q0053,2025-06-03 07:00:00,黄黄K714,黄冈市,武穴市,30.0278,115.7514,22.2,1004.1,26.8,62,21.849602623921133,39.90499999999992
Q0054,2025-06-03 07:00:00,黄黄K708,黄冈市,黄梅县,30.0278,115.8164,23.1,1004.5,27.3,56,20.323763157721014,29.35299999999997
Q0055,2025-06-03 07:00:00,黄黄K700,黄冈市,黄梅县,30.0333,115.8986,25.2,1003.9,26.6,58,20.200444081154547,28.861499999999992
Q0056,2025-06-03 07:00:00,黄黄K685,黄冈市,黄梅县,30.1047,116.0217,45.9,1001.9,27.7,58,21.54872606375544,32.33400000000004
Q0058,2025-06-03 07:00:00,大广K2491,黄石市,市辖区,30.1703,114.9136,25.0,1002.8,29.5,32,13.199980773938574,25.613499999999952
Q0061,2025-06-03 07:00:00,大广K2520,黄石市,大冶市,29.9158,114.8833,57.7,999.8,28.9,43,17.132283340895615,33.06050000000004
Q0064,2025-06-03 07:00:00,大广K2552,黄石市,阳新县,29.6617,114.9464,23.5,1003.6,29.4,46,18.865703351477617,30.465499999999956
Q0065,2025-06-03 07:00:00,大广K2560,黄石市,阳新县,29.6053,114.9322,37.1,1000.9,28.5,45,17.517468122843017,28.645500000000013
Q0066,2025-06-03 07:00:00,大广K2583,咸宁市,通山县,29.4306,114.8339,281.9,972.9,25.8,56,18.602409364220517,34.8185
Q0067,2025-06-03 07:00:00,杭瑞K731,咸宁市,崇阳县,29.3742,113.8803,81.0,995.7,27.7,57,21.17719630403552,37.126499999999936
Q0069,2025-06-03 07:00:00,杭瑞K679,咸宁市,通山县,29.5817,114.3203,81.0,993.1,27.8,46,17.19060361073331,37.49149999999997
Q0071,2025-06-03 07:00:00,杭瑞K640,咸宁市,通山县,29.7172,114.6692,128.1,991.4,28.0,48,18.148815897454284,41.02749999999998
Q0072,2025-06-03 07:00:00,杭瑞K620,黄石市,阳新县,29.7147,114.8767,167.3,987.7,26.5,54,18.696674806562253,27.93749999999999
Q0074,2025-06-03 07:00:00,杭瑞K583,黄石市,阳新县,29.7067,115.2367,54.2,999.7,27.5,55,20.196276019077978,36.01999999999999
Q0079,2025-06-03 07:00:00,福银K1447,十堰市,郧西县,33.08,110.3,444.3,957.2,26.0,63,21.1773247647653,38.88650000000005
Q0080,2025-06-03 07:00:00,福银K1421,十堰市,郧西县,32.95,110.5,395.1,962.0,26.8,50,17.62064727735575,31.60150000000004
Q0081,2025-06-03 07:00:00,福银K1405,十堰市,郧西县,32.86,110.65,275.8,973.5,28.1,52,19.77627446775925,35.406000000000056
Q0082,2025-06-03 07:00:00,福银K1398,十堰市,郧西县,32.82,110.7,205.1,981.5,28.8,49,19.40991612312232,34.47049999999997
Q0083,2025-06-03 07:00:00,福银K1338,十堰市,丹江口市,32.51,111.14,162.4,987.0,27.1,65,23.31467776337225,41.08500000000004
Q0084,2025-06-03 07:00:00,福银K1364,十堰市,丹江口市,32.63,110.86,199.4,982.5,29.6,41,17.01035945591371,33.238
Q0087,2025-06-03 07:00:00,福银K1277,襄阳市,谷城县,32.28,111.66,73.4,997.0,28.2,59,22.56967799471712,43.39950000000002
Q0089,2025-06-03 07:00:00,福银K1234,襄阳市,市辖区,32.19,112.1,76.5,996.9,29.8,37,15.52882100542904,32.20950000000003
Q0093,2025-06-03 07:00:00,福银K1103,随州市,市辖区,31.67,113.26,101.0,994.8,27.2,62,22.369625373480137,36.58049999999994
Q0094,2025-06-03 07:00:00,福银K1093,随州市,市辖区,31.6,113.33,83.0,997.2,28.5,52,20.2424076086186,33.856000000000066
Q0095,2025-06-03 07:00:00,福银K1076,随州市,市辖区,31.48,113.43,110.0,994.0,30.6,49,21.532193430440987,40.58399999999997
Q0096,2025-06-03 07:00:00,福银K1064,孝感市,安陆市,31.39,113.51,97.7,996.2,28.5,54,21.020961747411626,36.94349999999999
Q0100,2025-06-03 07:00:00,福银K993,孝感市,市辖区,30.98,114.05,29.2,1002.7,28.1,60,22.818778232029903,42.27050000000003
Q0103,2025-06-03 07:00:00,襄荆K1620,荆门市,钟祥市,31.54,112.28,56.7,999.4,28.2,5,1.912684575823485,6.126499999999992
Q0104,2025-06-03 07:00:00,襄荆K1634,荆门市,钟祥市,31.42,112.34,68.6,998.1,28.1,61,23.199091202563736,34.39300000000001
Q0106,2025-06-03 07:00:00,襄荆K1685,荆门市,市辖区,30.99,112.27,51.3,999.6,28.9,53,21.116535280638782,30.624500000000012
Q0107,2025-06-03 07:00:00,襄荆K1704,荆门市,市辖区,30.82,112.24,75.1,997.7,27.2,62,22.369625373480137,33.136499999999984
Q0108,2025-06-03 07:00:00,襄荆K1715交通气象站,荆门市,沙洋县,30.7,112.22,50.4,1000.6,27.7,5,1.8576487985996075,8.205999999999994
Q0109,2025-06-03 07:00:00,襄荆K1745,荆门市,沙洋县,30.45,112.21,42.3,1002.5,28.5,62,24.135178302583714,43.29549999999994
Q0600,2025-06-03 07:00:00,洪湖石码头,荆州市,洪湖市,29.8361,113.5272,26.0,1003.4,28.6,52,20.360429680158767,30.76750000000001
Q0603,2025-06-03 07:00:00,石首海事码头,荆州市,石首市,29.7378,112.4081,20.0,1002.9,27.4,62,22.63367015486193,33.83050000000002
Q0604,2025-06-03 07:00:00,公安航道码头,荆州市,公安县,30.0744,112.215,11.0,1002.3,28.3,60,23.08633283179324,38.2995
