id,Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
1,P8103,2025-06-03 01:00:00,24.74,111.49,336.0,永州市,河路口,江华瑶族自治县,22.28,93.0,970.0,20.4,33.6057,train
2,P8062,2025-06-03 01:00:00,24.8,111.93,437.5,永州市,大锡,江华瑶族自治县,20.38,83.0,958.2,20.8,41.6265,train
3,P8058,2025-06-03 01:00:00,24.81,111.54,368.7,永州市,涛圩,江华瑶族自治县,20.69,88.0,965.2,20.1,38.3473,train
4,P8099,2025-06-03 01:00:00,24.87,111.7,377.8,永州市,大圩,江华瑶族自治县,20.99,86.0,964.5,20.7,37.9474,train
5,P8061,2025-06-03 01:00:00,24.87,111.82,545.4,永州市,蔚竹口,江华瑶族自治县,20.9,94.0,945.4,19.2,39.1451,test
6,P8065,2025-06-03 01:00:00,24.88,111.51,321.9,永州市,大石桥,江华瑶族自治县,21.4,84.0,975.2,21.4,45.5419,train
7,P8057,2025-06-03 01:00:00,24.92,112.02,321.9,永州市,码市,江华瑶族自治县,19.62,77.0,970.5,21.4,45.5182,train
8,P8054,2025-06-03 01:00:00,24.93,111.53,276.0,永州市,白芒营,江华瑶族自治县,23.33,91.0,976.6,21.5,44.6528,train
9,YZXX,2025-06-03 01:00:00,24.95,111.71,321.66,永州市,小圩壮族乡,江华瑶族自治县,,999999.0,976.1314,23.3658,55.1277,train
10,P8049,2025-06-03 01:00:00,24.95,111.81,318.2,永州市,水口贝江,江华瑶族自治县,22.15,88.0,970.6,21.2,37.4787,test
11,P8697,2025-06-03 01:00:00,24.95,112.93,1253.0,郴州市,林子坪水库,宜章县,18.29,100.0,870.7,16.1,21.9717,train
12,P8055,2025-06-03 01:00:00,24.98,111.73,315.4,永州市,小圩清塘,江华瑶族自治县,10.38,40.0,971.5,21.7,25.6565,train
13,P8005,2025-06-03 01:00:00,25.0,111.07,327.2,永州市,源口,江永县,24.55,100.0,970.9,20.8,45.9454,train
14,P8052,2025-06-03 01:00:00,25.03,111.68,340.9,永州市,花江洞,江华瑶族自治县,22.23,90.0,968.6,20.9,35.4757,train
15,P8051,2025-06-03 01:00:00,25.04,111.53,245.8,永州市,大路铺,江华瑶族自治县,21.25,86.0,980.4,20.9,43.1783,test
16,P8098,2025-06-03 01:00:00,25.05,111.58,278.0,永州市,桥市,江华瑶族自治县,20.86,86.0,974.4,20.6,40.593,train
17,P8006,2025-06-03 01:00:00,25.06,111.13,251.7,永州市,大地坪,江永县,22.26,89.0,980.9,21.1,42.5931,train
18,P8003,2025-06-03 01:00:00,25.1,111.18,287.2,永州市,勾兰瑶寨,江永县,21.27,84.0,977.6,21.3,44.7132,train
