time,id,Lat,Lon,rh,sp,t2m,target,predict
2025/6/3 0:00,1,24,112,97.77,98125.75,23.79,1,39.464302
2025/6/3 0:00,2,24,112.1,97.58,97747.75,23.4,2,40.78648
2025/6/3 0:00,3,24,112.2,97.39,97369.75,23.02,3,40.430668
2025/6/3 0:00,4,24,112.3,96.92,96870.15,22.67,4,39.901653
2025/6/3 0:00,5,24,112.4,96.18,96248.95,22.36,5,39.255806
2025/6/3 0:00,6,24,112.5,95.44,95627.75,22.05,6,39.84399
2025/6/3 0:00,7,24,112.6,95.15,95909.75,22.47,7,40.50511
2025/6/3 0:00,8,24,112.7,94.85,96191.75,22.88,8,41.19087
2025/6/3 0:00,9,24,112.8,95.07,96606.95,23.39,9,39.9174
2025/6/3 0:00,10,24,112.9,95.8,97155.35,23.98,10,40.373005
2025/6/3 0:00,11,24,113,96.53,97703.75,24.56,11,41.859707
2025/6/3 0:00,12,24,113.1,96.99,97930.95,24.89,12,41.99336
2025/6/3 0:00,13,24,113.2,97.45,98158.15,25.21,13,42.747925
2025/6/3 0:00,14,24,113.3,97.56,98217.35,25.38,14,42.954205
2025/6/3 0:00,15,24,113.4,97.34,98108.55,25.4,15,42.47473
2025/6/3 0:00,16,24,113.5,97.11,97999.75,25.42,16,41.698803
2025/6/3 0:00,17,24,113.6,97.14,97637.35,25.28,17,40.985992
2025/6/3 0:00,18,24,113.7,97.16,97274.95,25.13,18,40.653507
2025/6/3 0:00,19,24,113.8,97.37,96811.75,25.06,19,39.928444
2025/6/3 0:00,20,24,113.9,97.75,96247.75,25.08,20,39.53738
2025/6/3 0:00,21,24,114,98.14,95683.75,25.09,21,39.076687
2025/6/3 0:00,22,24,114.1,98.37,95742.95,25.35,22,38.755203
2025/6/3 0:00,23,24,114.2,98.6,95802.15,25.61,23,38.073605
2025/6/3 0:00,24,24,114.3,98.8,96000.75,25.78,24,37.751366
2025/6/3 0:00,25,24,114.4,98.96,96338.75,25.88,25,36.49522
2025/6/3 0:00,26,24,114.5,99.12,96676.75,25.98,26,35.142323
2025/6/3 0:00,27,24,114.6,99.25,96939.55,26.01,27,34.36064
2025/6/3 0:00,28,24,114.7,99.39,97202.35,26.04,28,33.70434
2025/6/3 0:00,29,24,114.8,99.45,97330.75,26.07,29,32.149532
2025/6/3 0:00,30,24,114.9,99.43,97324.75,26.1,30,31.752365
2025/6/3 0:00,31,24,115,99.42,97318.75,26.13,31,66.03551
2025/6/3 0:00,32,24.1,112,97.2,96748.15,22.78,32,40.329044
2025/6/3 0:00,33,24.1,112.1,97.01,96370.15,22.39,33,41.024094
2025/6/3 0:00,34,24.1,112.2,96.22,96013.15,22,34,40.78506
2025/6/3 0:00,35,24.1,112.3,95.21,96012.75,21.87,35,40.179356
2025/6/3 0:00,36,24.1,112.4,94.5,95869.75,21.79,36,39.4729
2025/6/3 0:00,37,24.1,112.5,93.76,95248.55,21.49,37,40.19615
2025/6/3 0:00,38,24.1,112.6,93.47,95530.55,21.9,38,40.43768
2025/6/3 0:00,39,24.1,112.7,93.72,96084.55,22.51,39,40.33829
2025/6/3 0:00,40,24.1,112.8,94.8,96742.55,23.21,40,40.079124
2025/6/3 0:00,41,24.1,112.9,95.85,97261.75,23.81,41,41.017464
2025/6/3 0:00,42,24.1,113,96.58,97810.15,24.4,42,41.707977
2025/6/3 0:00,43,24.1,113.1,97.04,98037.35,24.72,43,41.865356
2025/6/3 0:00,44,24.1,113.2,97.45,98238.15,25.01,44,42.33515
2025/6/3 0:00,45,24.1,113.3,97.52,98262.55,25.12,45,42.26569
2025/6/3 0:00,46,24.1,113.4,97.28,98145.35,25.11,46,42.469364
2025/6/3 0:00,47,24.1,113.5,97.05,98036.55,25.13,47,41.890823
2025/6/3 0:00,48,24.1,113.6,97.6,97764.55,25.05,48,41.14998
2025/6/3 0:00,49,24.1,113.7,97.63,97402.15,24.9,49,40.804073
2025/6/3 0:00,50,24.1,113.8,97.84,96938.95,24.84,50,40.106495
2025/6/3 0:00,51,24.1,113.9,98.22,96374.95,24.85,51,39.596004
2025/6/3 0:00,52,24.1,114,98.85,95980.15,25.05,52,39.41877
2025/6/3 0:00,53,24.1,114.1,98.81,95714.95,24.95,53,38.62683
2025/6/3 0:00,54,24.1,114.2,99.04,95774.15,25.21,54,37.94066
2025/6/3 0:00,55,24.1,114.3,99.24,95972.75,25.39,55,36.98957
2025/6/3 0:00,56,24.1,114.4,99.4,96310.75,25.48,56,35.799946
2025/6/3 0:00,57,24.1,114.5,99.55,96203.95,25.24,57,35.19703
2025/6/3 0:00,58,24.1,114.6,99.51,96543.95,25.32,58,34.914696
2025/6/3 0:00,59,24.1,114.7,99.64,96806.75,25.35,59,33.849487
2025/6/3 0:00,60,24.1,114.8,99.56,97179.75,25.55,60,32.894432
2025/6/3 0:00,61,24.1,114.9,99.39,97418.35,25.75,61,32.418964
2025/6/3 0:00,62,24.1,115,99.38,97412.35,25.78,62,65.62296
2025/6/3 0:00,63,24.2,112,96.62,95370.55,21.77,63,40.597572
2025/6/3 0:00,64,24.2,112.1,95.84,95013.55,21.37,64,41.18299
2025/6/3 0:00,65,24.2,112.2,94.47,94677.55,20.96,65,41.20833
2025/6/3 0:00,66,24.2,112.3,93.45,94677.15,20.84,66,40.708797
2025/6/3 0:00,67,24.2,112.4,92.78,95012.35,20.99,67,39.63309
2025/6/3 0:00,68,24.2,112.5,92.08,94869.35,20.92,68,40.41872
2025/6/3 0:00,69,24.2,112.6,92.33,95423.35,21.52,69,41.0897
2025/6/3 0:00,70,24.2,112.7,93.12,96249.35,22.32,70,39.953857
2025/6/3 0:00,71,24.2,112.8,94.2,96907.35,23.02,71,40.019478
2025/6/3 0:00,72,24.2,112.9,95.57,97397.35,23.63,72,40.9466
2025/6/3 0:00,73,24.2,113,96.62,97916.55,24.23,73,41.25109
2025/6/3 0:00,74,24.2,113.1,97.04,98117.35,24.52,74,41.806305
2025/6/3 0:00,75,24.2,113.2,97.41,98291.75,24.78,75,42.42411
2025/6/3 0:00,76,24.2,113.3,97.48,98316.15,24.89,76,42.034405
2025/6/3 0:00,77,24.2,113.4,97.24,98190.55,24.85,77,42.554558
2025/6/3 0:00,78,24.2,113.5,97,98073.35,24.84,78,41.575035
2025/6/3 0:00,79,24.2,113.6,97.55,97801.35,24.76,79,41.420444
2025/6/3 0:00,80,24.2,113.7,98.1,97529.35,24.68,80,41.123608
