id,Lat,Lon,VAP,RHU,PRS,PWV,dataset
1,24.74,111.49,22.1,100,969.5,43.2375,train
2,24.8,111.93,19.94,88,958,44.4996,train
3,24.81,111.54,20.35,95,964.8,45.2923,train
4,24.87,111.7,22.8,100,964.2,39.5659,train
5,24.87,111.82,21.07,99,945.1,37.134,test
6,24.88,111.51,21.3,94,974.8,40.8873,train
7,24.92,112.02,21.16,90,970.4,44.4158,train
8,24.93,111.53,22.94,100,976.1,42.8821,train
9,24.95,111.81,22,93,970.3,35.25,train
10,24.95,112.93,17.09,99,870.8,30.7909,test
11,24.98,111.73,9.76,41,971.3,15.4993,train
12,25,111.07,23.08,100,970.2,38.5322,train
13,25.03,111.68,22.06,95,968.3,36.7021,train
14,25.04,111.53,20.97,92,980.1,45.4621,train
15,25.05,111.58,20.46,92,974.1,48.1572,test
16,25.06,111.13,22.53,97,980.2,52.3479,train
17,25.1,111.18,21.03,90,977,46.6178,train
18,25.1,112.81,22.29,99,977.5,49.3117,train
19,25.12,111.04,21.85,89,981.6,43.5122,train
20,25.12,111.47,19.45,88,957.6,34.9056,test
21,25.13,111.37,22.1,100,963.5,43.2375,train
22,25.14,112.74,22.66,100,974.8,51.8915,train
23,25.17,111.34,19.83,87,969.6,41.1775,train
24,25.17,111.66,21.61,96,979.8,37.8204,train
25,25.17,112.63,21.1,92,969.7,27.0608,test
26,25.18,111.57,21.23,92,977.3,52.8903,train
27,25.18,111.9,18.16,95,910.8,37.84,train
28,25.19,112.85,22.66,100,984.3,48.6902,train
29,25.2,111.18,22.66,100,969.7,39.9923,train
30,25.23,111.9,16.5,100,883.9,28.8064,test
31,25.24,112.95,23,96,980.2,40.6619,train
32,25.25,112.26,18.55,94,939.3,46.2765,train
33,25.27,112.55,21,91,974.8,51.8,train
34,25.28,111.31,21.66,98,977.4,50.6321,train
35,25.29,111.51,21.52,95,981.5,45.4101,test
36,25.29,111.62,21.21,88,983.1,39.3987,train
37,25.29,111.81,19.84,95,937.7,43.8209,train
38,25.33,112.46,0,0,956.4,4.9191,train
39,25.34,112.31,21.82,100,969.2,56.7269,train
40,25.35,111.45,21.98,97,984.6,46.9608,test
41,25.35,111.95,22.37,100,972,59.6171,train
42,25.38,113.52,18.08,97,905.6,54.4439,train
43,25.39,111.31,19.98,91,974.5,45.3784,train
44,25.39,112.72,21.9,92,977.3,51.5912,train
45,25.4,111.57,23.23,100,987.1,43.5605,test
46,25.4,112.17,22.1,100,969,56.7816,train
47,25.4,113.61,20.05,96,932.2,40.7756,train
48,25.4,113.78,23.81,100,979.5,34.3983,train
