id,Lat,Lon,rh,sp,t2m,PWV,dataset
1,24.74,111.49,85.43,94215.39,19.91,43.2375,train
2,24.8,111.93,84.61,93919.35,19.61,44.4996,train
3,24.81,111.54,84.5,93858.87,19.55,45.2923,train
4,24.87,111.7,83.86,93495.99,19.19,39.5659,train
5,24.87,111.82,83.86,93495.99,19.19,37.134,test
6,24.88,111.51,83.75,93435.51,19.13,40.8873,train
7,24.92,112.02,82.95,93273.11,18.91,44.4158,train
8,24.93,111.53,83.21,93133.11,18.84,42.8821,train
9,24.95,111.81,82.99,93012.15,18.72,35.25,train
10,24.95,112.93,81.31,93378.43,18.94,30.7909,test
11,24.98,111.73,82.66,92830.71,18.54,15.4993,train
12,25,111.07,82.45,92709.75,18.42,38.5322,train
13,25.03,111.68,82.41,92698.59,18.34,36.7021,train
14,25.04,111.53,82.4,92694.87,18.31,45.4621,train
15,25.05,111.58,82.39,92691.15,18.28,48.1572,test
16,25.06,111.13,82.38,92687.43,18.25,52.3479,train
17,25.1,111.18,82.33,92672.55,18.14,46.6178,train
18,25.1,112.81,78.77,94202.23,18.81,49.3117,train
19,25.12,111.04,82.3,92665.11,18.08,43.5122,train
20,25.12,111.47,82.3,92665.11,18.08,34.9056,test
21,25.13,111.37,82.29,92661.39,18.05,43.2375,train
22,25.14,112.74,77.98,94425.71,18.8,51.8915,train
23,25.17,111.34,82.24,92646.51,17.94,41.1775,train
24,25.17,111.66,82.24,92646.51,17.94,37.8204,train
25,25.17,112.63,78.46,94437.87,18.82,27.0608,test
26,25.18,111.57,82.23,92642.79,17.91,52.8903,train
27,25.18,111.9,82.23,92642.79,17.91,37.84,train
28,25.19,112.85,78.1,94759.15,18.98,48.6902,train
29,25.2,111.18,82.21,92635.35,17.85,39.9923,train
30,25.23,111.9,82.17,92624.19,17.77,28.8064,test
31,25.24,112.95,78.3,95076.95,19.16,40.6619,train
32,25.25,112.26,79.5,93649.59,18.2,46.2765,train
33,25.27,112.55,78.25,94865.95,18.93,51.8,train
34,25.28,111.31,81.81,93045.63,17.9,50.6321,train
35,25.29,111.51,81.7,93188.59,17.97,45.4101,test
36,25.29,111.62,81.7,93188.59,17.97,39.3987,train
37,25.29,111.81,81.7,93188.59,17.97,43.8209,train
38,25.33,112.46,78.37,95059.19,18.98,4.9191,train
39,25.34,112.31,78.26,94748.59,18.71,56.7269,train
40,25.35,111.45,81.03,94046.35,18.35,46.9608,test
41,25.35,111.95,81.03,94046.35,18.35,59.6171,train
42,25.38,113.52,88.67,93894.35,19.74,54.4439,train
43,25.39,111.31,80.58,94618.19,18.61,45.3784,train
44,25.39,112.72,78.39,95377.11,19.05,51.5912,train
45,25.4,111.57,80.47,94761.15,18.67,43.5605,test
46,25.4,112.17,78.63,94746.59,18.62,56.7816,train
47,25.4,113.61,89.54,93785.31,20.13,40.7756,train
48,25.4,113.78,92.83,93992.91,21.16,34.3983,train
49,25.41,112.94,79.29,95188.15,19.08,55.4,train
50,25.44,113.49,86.8,93316.35,19.23,35.604,test
51,25.45,112.43,78.4,95495.27,19.07,31.5802,train
52,25.46,113.69,89.37,93268.35,20.23,40.3289,train
53,25.47,111.8,79.69,95761.87,19.12,42.0178,train
54,25.47,112.34,77.51,95749.51,19.11,44.8982,train
55,25.47,112.61,79.15,95487.63,19.08,33.145,test
56,25.47,113.12,81.03,94440.79,18.84,43.2179,train
57,25.48,112.01,79.47,95898.59,19.18,51.1334,train
58,25.49,111.39,79.46,96047.79,19.25,47.1149,train
59,25.49,113.65,88.03,92925.39,19.8,36.6662,train
60,25.51,111.65,79.4,96203.91,19.33,45.2487,test
61,25.51,112.38,78,95828.87,19.15,41.3816,train
62,25.51,112.65,79.64,95597.59,19.13,44.2697,train
63,25.52,111.7,79.44,96217.07,19.34,49.6649,train
64,25.52,112.46,78.82,95729.79,19.16,41.679,train
65,25.52,112.76,79.88,95648.83,19.15,36.5361,test
66,25.52,113.91,95.02,93186.19,21.35,35.4451,train
67,25.53,111.6,79.49,96230.23,19.35,52.6,train
68,25.53,112.8,79.9,95583.87,19.13,36.8845,train
69,25.53,113.37,83.85,93359.19,18.76,29.4227,train
70,25.55,111.7,79.58,96256.55,19.38,50.4257,test
71,25.55,112.89,79.93,95428.95,19.09,23.6373,train
72,25.56,113.69,87.9,92677.55,19.76,53.2,train
73,25.57,112.72,80.04,95836.67,19.23,45.5023,train
74,25.58,112.37,77.73,96352.83,19.38,44.5623,train
75,25.58,112.4,78.05,96288.75,19.37,44.0732,test
76,25.59,111.96,79.77,96309.19,19.44,52.7,train
77,25.59,112.23,76.37,96456.87,19.43,45.7582,train
78,25.59,113.63,86.71,92519.27,19.3,39.4887,train
79,25.6,112.71,80.14,95937.67,19.27,46.1321,train
80,25.61,113.04,79.37,95167.63,18.97,45.9601,test
81,25.61,113.95,94.84,92961.19,21.31,34.3865,train
82,25.62,111.61,79.91,96348.67,19.49,41.9314,train
83,25.62,112.28,76.14,96678.91,19.54,47.8523,train
84,25.62,112.93,79.79,95567.43,19.14,46.9614,train
