id,latitude,longitude,rh,sp,t2m,id
1,24,112,97.77,98125.75,23.79,1
2,24,112.05,97.68,97936.75,23.6,2
3,24,112.1,97.58,97747.75,23.4,3
4,24,112.15,97.49,97558.75,23.21,4
5,24,112.2,97.39,97369.75,23.02,5
6,24,112.25,97.3,97180.75,22.82,6
7,24,112.3,96.92,96870.15,22.67,7
8,24,112.35,96.55,96559.55,22.52,8
9,24,112.4,96.18,96248.95,22.36,9
10,24,112.45,95.81,95938.35,22.21,10
11,24,112.5,95.44,95627.75,22.05,11
12,24,112.55,95.29,95768.75,22.26,12
13,24,112.6,95.15,95909.75,22.47,13
14,24,112.65,95,96050.75,22.68,14
15,24,112.7,94.85,96191.75,22.88,15
16,24,112.75,94.71,96332.75,23.09,16
17,24,112.8,95.07,96606.95,23.39,17
18,24,112.85,95.44,96881.15,23.68,18
19,24,112.9,95.8,97155.35,23.98,19
20,24,112.95,96.17,97429.55,24.27,20
21,24,113,96.53,97703.75,24.56,21
22,24,113.05,96.76,97817.35,24.73,22
23,24,113.1,96.99,97930.95,24.89,23
24,24,113.15,97.22,98044.55,25.05,24
25,24,113.2,97.45,98158.15,25.21,25
26,24,113.25,97.68,98271.75,25.37,26
27,24,113.3,97.56,98217.35,25.38,27
28,24,113.35,97.45,98162.95,25.39,28
29,24,113.4,97.34,98108.55,25.4,29
30,24,113.45,97.22,98054.15,25.41,30
31,24,113.5,97.11,97999.75,25.42,31
32,24,113.55,97.12,97818.55,25.35,32
33,24,113.6,97.14,97637.35,25.28,33
34,24,113.65,97.15,97456.15,25.2,34
35,24,113.7,97.16,97274.95,25.13,35
36,24,113.75,97.18,97093.75,25.06,36
37,24,113.8,97.37,96811.75,25.06,37
38,24,113.85,97.56,96529.75,25.07,38
39,24,113.9,97.75,96247.75,25.08,39
40,24,113.95,97.95,95965.75,25.08,40
41,24,114,98.14,95683.75,25.09,41
42,24,114.05,98.25,95713.35,25.22,42
43,24,114.1,98.37,95742.95,25.35,43
44,24,114.15,98.49,95772.55,25.48,44
45,24,114.2,98.6,95802.15,25.61,45
46,24,114.25,98.72,95831.75,25.73,46
47,24,114.3,98.8,96000.75,25.78,47
48,24,114.35,98.88,96169.75,25.83,48
