id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,pwv,dataset,formatted_time,id,predict,rh,sp,t2m,target
1,P8103,2025/06/03 00:00,24.74,111.49,336.0,永州市,河路口,江华瑶族自治县,22.1,100,969.5,19.1,43.2375,train,2025-06-03 00:00:00,218.0,42.95203,86.55,94189.95,19.96,218.0
2,P8062,2025/06/03 00:00,24.8,111.93,437.5,永州市,大锡,江华瑶族自治县,19.94,88,958,19.5,44.4996,train,2025-06-03 00:00:00,249.0,43.14269,84.61,93919.35,19.61,249.0
3,P8058,2025/06/03 00:00,24.81,111.54,368.7,永州市,涛圩,江华瑶族自治县,20.35,95,964.8,18.6,45.2923,train,2025-06-03 00:00:00,249.0,43.14269,84.61,93919.35,19.61,249.0
4,P8099,2025/06/03 00:00,24.87,111.7,377.8,永州市,大圩,江华瑶族自治县,22.8,100,964.2,19.6,39.5659,train,2025-06-03 00:00:00,280.0,43.69098,83.53,93314.55,19.01,280.0
5,P8061,2025/06/03 00:00,24.87,111.82,545.4,永州市,蔚竹口,江华瑶族自治县,21.07,99,945.1,18.5,37.134,test,2025-06-03 00:00:00,280.0,43.69098,83.53,93314.55,19.01,280.0
6,P8065,2025/06/03 00:00,24.88,111.51,321.9,永州市,大石桥,江华瑶族自治县,21.3,94,974.8,19.5,40.8873,train,2025-06-03 00:00:00,280.0,43.69098,83.53,93314.55,19.01,280.0
7,P8057,2025/06/03 00:00,24.92,112.02,321.9,永州市,码市,江华瑶族自治县,21.16,90,970.4,20.1,44.4158,train,2025-06-03 00:00:00,280.0,43.69098,83.53,93314.55,19.01,280.0
8,P8054,2025/06/03 00:00,24.93,111.53,276.0,永州市,白芒营,江华瑶族自治县,22.94,100, ,19.7,42.8821,train,2025-06-03 00:00:00,280.0,43.69098,83.53,93314.55,19.01,280.0
9,P8049,2025/06/03 00:00,24.95,111.81,318.2,永州市,水口贝江,江华瑶族自治县,22.0,93,970.3,20.2,35.25,train,2025-06-03 00:00:00,280.0,43.69098,83.53,93314.55,19.01,280.0
10,P8697,2025/06/03 00:00,24.95,112.93,1253.0,郴州市,林子坪水库,宜章县,17.09,99,870.8,15.2,30.7909,test,2025-06-03 00:00:00,289.0,42.99166,81.95,93276.75,19.1,289.0
11,P8055,2025/06/03 00:00,24.98,111.73,315.4,永州市,小圩清塘,江华瑶族自治县,9.76,41,971.3,20.3,15.4993,train,2025-06-03 00:00:00,311.0,43.77364,82.45,92709.75,18.42,311.0
12,P8005,2025/06/03 00:00,25.0,111.07,327.2,永州市,源口,江永县,23.08,100,970.2,19.8,38.5322,train,2025-06-03 00:00:00,311.0,43.77364,82.45,92709.75,18.42,311.0
13,P8052,2025/06/03 00:00,25.03,111.68,340.9,永州市,花江洞,江华瑶族自治县,22.06,95,968.3,19.9,36.7021,train,2025-06-03 00:00:00,311.0,43.77364,82.45,92709.75,18.42,311.0
14,P8051,2025/06/03 00:00,25.04,111.53,245.8,永州市,大路铺,江华瑶族自治县,20.97,92,980.1,19.6,45.4621,train,2025-06-03 00:00:00,311.0,43.77364,82.45,92709.75,18.42,311.0
15,P8098,2025/06/03 00:00,25.05,111.58,278.0,永州市,桥市,江华瑶族自治县,20.46,92,974.1,19.2,48.1572,test,2025-06-03 00:00:00,342.0,43.58404,82.33,92672.55,18.14,342.0
16,P8006,2025/06/03 00:00,25.06,111.13,251.7,永州市,大地坪,江永县,22.53,97,980.2,19.9,52.3479,train,2025-06-03 00:00:00,342.0,43.58404,82.33,92672.55,18.14,342.0
17,P8003,2025/06/03 00:00,25.1,111.18,287.2,永州市,勾兰瑶寨,江永县,21.03,90,977,20.0,46.6178,train,2025-06-03 00:00:00,342.0,43.58404,82.33,92672.55,18.14,342.0
18,P8696,2025/06/03 00:00,25.1,112.81,277.0,郴州市,天塘,宜章县,22.29,99,977.5,19.4,49.3117,train,2025-06-03 00:00:00,350.0,43.24338,78.69,94201.15,18.8,350.0
19,P8015,2025/06/03 00:00,25.12,111.04,233.0,永州市,云雾山,江永县,21.85,89,981.6,20.8,43.5122,train,2025-06-03 00:00:00,342.0,43.58404,82.33,92672.55,18.14,342.0
20,P8004,2025/06/03 00:00,25.12,111.47,443.1,永州市,松柏,江永县,19.45,88,957.6,19.1,34.9056,test,2025-06-03 00:00:00,342.0,43.58404,82.33,92672.55,18.14,342.0
21,P8105,2025/06/03 00:00,25.13,111.37,388.1,永州市,李家塘,江永县,22.1,100,963.5,19.1,43.2375,train,2025-06-03 00:00:00,342.0,43.58404,82.33,92672.55,18.14,342.0
22,P8690,2025/06/03 00:00,25.14,112.74,288.0,郴州市,黄沙,宜章县,22.66,100,974.8,19.5,51.8915,train,2025-06-03 00:00:00,349.0,43.3684,78.69,94117.55,18.73,349.0
23,P7999,2025/06/03 00:00,25.17,111.34,336.1,永州市,回龙圩,江永县,19.83,87,969.6,19.6,41.1775,train,2025-06-03 00:00:00,373.0,44.275505,82.21,92635.35,17.85,373.0
24,P8101,2025/06/03 00:00,25.17,111.66,226.0,永州市,涔天河水东,江华瑶族自治县,21.61,96,979.8,19.4,37.8204,train,2025-06-03 00:00:00,373.0,44.275505,82.21,92635.35,17.85,373.0
25,P8648,2025/06/03 00:00,25.17,112.63,343.2,郴州市,邹家,临武县,21.1,92,969.7,19.7,27.0608,test,2025-06-03 00:00:00,379.0,43.030037,78.36,94575.15,18.86,379.0
26,59063,2025/06/03 00:00,25.18,111.57,265.7,永州市,江华,江华瑶族自治县,21.23,92,977.3,19.8,52.8903,train,2025-06-03 00:00:00,373.0,44.275505,82.21,92635.35,17.85,373.0
27,P8064,2025/06/03 00:00,25.18,111.9,854.3,永州市,香草源,江华瑶族自治县,18.16,95,910.8,16.8,37.84,train,2025-06-03 00:00:00,373.0,44.275505,82.21,92635.35,17.85,373.0
28,P8699,2025/06/03 00:00,25.19,112.85,216.0,郴州市,一六,宜章县,22.66,100,984.3,19.5,48.6902,train,2025-06-03 00:00:00,381.0,43.541904,77.63,94815.15,18.94,381.0
29,P7996,2025/06/03 00:00,25.2,111.18,335.7,永州市,汉江源水库,江永县,22.66,100,969.7,19.5,39.9923,train,2025-06-03 00:00:00,373.0,44.275505,82.21,92635.35,17.85,373.0
30,P7901,2025/06/03 00:00,25.23,111.9,1123.1,永州市,紫金锂业,道县,16.5,100,883.9,14.5,28.8064,test,2025-06-03 00:00:00,373.0,44.275505,82.21,92635.35,17.85,373.0
31,P8701,2025/06/03 00:00,25.24,112.95,243.2,郴州市,栗源,宜章县,23.0,96,980.2,20.4,40.6619,train,2025-06-03 00:00:00,383.0,43.721737,79.03,94807.15,19.14,383.0
32,P7946,2025/06/03 00:00,25.25,112.26,615.5,永州市,浆洞,蓝山县,18.55,94,939.3,17.3,46.2765,train,2025-06-03 00:00:00,376.0,44.200474,79.09,93915.55,18.49,376.0
33,57978,2025/06/03 00:00,25.27,112.55,295.7,郴州市,临武,临武县,21.0,91,974.8,19.8,51.8,train,2025-06-03 00:00:00,410.0,43.462704,77.98,95037.15,18.96,410.0
