time_utc,time_bj,latitude,longitude,t2m_K,sp_Pa,t2m_C
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,112.0,292.2068,98724.69,19.056793
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,112.25,292.4314,99585.69,19.281403
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,112.5,292.7068,99997.69,19.556793
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,112.75,292.7146,99870.69,19.564606
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,113.0,292.3689,99150.69,19.218903
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,113.25,292.4607,99473.69,19.3107
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,113.5,292.77124,100001.69,19.621246
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,113.75,292.93335,100179.69,19.783356
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,114.0,292.91772,100021.69,19.76773
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,114.25,292.74976,99723.69,19.599762
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,114.5,292.88647,100076.69,19.73648
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,114.75,292.82593,99864.69,19.675934
2025-06-02 00:00:00,2025-06-02 08:00:00,31.0,115.0,292.34155,98881.69,19.191559
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,112.0,293.22046,99849.69,20.070465
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,112.25,293.10327,100137.69,19.953278
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,112.5,293.03882,100178.69,19.888824
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,112.75,293.0603,100178.69,19.910309
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,113.0,293.0935,100188.69,19.943512
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,113.25,293.04272,100282.69,19.89273
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,113.5,293.0193,100362.69,19.869293
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,113.75,293.0603,100389.69,19.910309
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,114.0,293.1443,100349.69,19.994293
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,114.25,293.1306,100204.69,19.980621
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,114.5,292.97632,100163.69,19.826324
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,114.75,293.04468,99973.69,19.894684
2025-06-02 00:00:00,2025-06-02 08:00:00,30.75,115.0,293.07007,99432.69,19.920074
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,112.0,293.76343,100393.69,20.613434
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,112.25,293.3806,100254.69,20.230621
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,112.5,293.23413,100293.69,20.084137
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,112.75,293.19507,100378.69,20.045074
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,113.0,293.1775,100422.69,20.027496
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,113.25,293.23804,100358.69,20.088043
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,113.5,293.11304,100318.69,19.963043
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,113.75,293.02124,100279.69,19.871246
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,114.0,293.0271,100265.69,19.877106
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,114.25,293.1443,100305.69,19.994293
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,114.5,293.0935,100259.69,19.943512
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,114.75,293.29272,100316.69,20.14273
2025-06-02 00:00:00,2025-06-02 08:00:00,30.5,115.0,293.53296,100118.69,20.382965
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,112.0,293.9275,100343.69,20.777496
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,112.25,293.61108,100348.69,20.46109
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,112.5,293.47437,100413.69,20.324371
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,112.75,293.26733,100438.69,20.11734
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,113.0,293.23218,100343.69,20.082184
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,113.25,293.2556,100339.69,20.105621
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,113.5,293.24,100437.69,20.089996
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,113.75,293.18726,100361.69,20.037262
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,114.0,293.0271,100340.69,19.877106
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,114.25,293.01538,100280.69,19.865387
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,114.5,292.9021,100083.69,19.752106
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,114.75,292.82202,99857.69,19.672028
2025-06-02 00:00:00,2025-06-02 08:00:00,30.25,115.0,293.08374,99876.69,19.933746
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,112.0,294.01538,100304.69,20.865387
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,112.25,293.76147,100337.69,20.61148
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,112.5,293.49,100366.69,20.339996
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,112.75,293.26343,100374.69,20.113434
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,113.0,293.2439,100434.69,20.093903
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,113.25,293.22827,100457.69,20.078278
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,113.5,293.08374,100412.69,19.933746
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,113.75,293.06616,100229.69,19.916168
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,114.0,292.8142,100187.69,19.664215
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,114.25,292.62476,100098.69,19.474762
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,114.5,292.44702,99839.69,19.297028
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,114.75,292.16968,99357.69,19.019684
2025-06-02 00:00:00,2025-06-02 08:00:00,30.0,115.0,292.23608,99054.69,19.08609
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,112.0,294.115,100308.69,20.964996
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,112.25,293.87866,100344.69,20.728668
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,112.5,293.5056,100310.69,20.355621
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,112.75,293.1775,100263.69,20.027496
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,113.0,293.1521,100328.69,20.002106
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,113.25,292.9939,100268.69,19.843903
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,113.5,292.8025,100153.69,19.652496
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,113.75,292.45093,99715.69,19.300934
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,114.0,291.97046,99464.69,18.820465
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,114.25,291.66968,99117.69,18.519684
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,114.5,291.50366,98532.69,18.353668
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,114.75,291.39233,98132.69,18.24234
2025-06-02 00:00:00,2025-06-02 08:00:00,29.75,115.0,291.64624,98326.69,18.496246
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,112.0,294.0232,100275.69,20.8732
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,112.25,293.92163,100359.69,20.771637
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,112.5,293.59155,100346.69,20.441559
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,112.75,293.24585,100283.69,20.095856
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,113.0,293.0232,100156.69,19.8732
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,113.25,292.865,100096.69,19.714996
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,113.5,292.1521,99206.69,19.002106
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,113.75,291.5818,98488.69,18.431793
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,114.0,291.13843,98111.69,17.988434
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,114.25,290.84155,97184.69,17.691559
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,114.5,290.67554,96597.69,17.525543
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,114.75,291.12476,96877.69,17.974762
2025-06-02 00:00:00,2025-06-02 08:00:00,29.5,115.0,291.51147,97426.69,18.36148
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,112.0,293.93726,100295.69,20.787262
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,112.25,293.84546,100386.69,20.695465
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,112.5,293.57593,100390.69,20.425934
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,112.75,293.32983,100357.69,20.17984
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.0,293.0896,100208.69,19.939606
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.25,292.63647,99535.69,19.48648
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.5,291.88647,98573.69,18.73648
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.75,291.14624,97306.69,17.996246
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.0,291.06226,97030.69,17.912262
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.25,290.80835,96128.69,17.658356
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.5,290.94507,96057.69,17.795074
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.75,291.40405,96349.69,18.254059
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,115.0,291.3435,95811.69,18.193512
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.0,293.80835,100259.69,20.658356
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.25,293.73022,100395.69,20.58023
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.5,293.47437,100392.69,20.324371
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.75,293.29468,100371.69,20.144684
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.0,293.0349,100240.69,19.884918
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.25,292.58374,99566.69,19.433746
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.5,291.97437,98387.69,18.824371
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.75,291.3064,96931.69,18.156403
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.0,291.40405,96762.69,18.254059
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.25,291.61108,96812.69,18.46109
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.5,291.74976,96741.69,18.599762
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.75,291.64624,95842.69,18.496246
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,115.0,291.2478,94194.69,18.097809
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.0,293.5603,100074.69,20.410309
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.25,293.46265,100171.69,20.312653
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.5,293.43726,100410.69,20.287262
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.75,293.15405,100219.69,20.004059
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.0,292.74585,100040.69,19.595856
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.25,292.281,99443.69,19.131012
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.5,291.77124,98384.69,18.621246
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.75,291.51343,97030.69,18.363434
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.0,291.3474,96150.69,18.197418
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.25,291.406,96054.69,18.256012
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.5,291.62866,95960.69,18.478668
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.75,291.47046,94865.69,18.320465
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,115.0,292.35132,94596.69,19.201324
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.0,292.73804,99142.69,19.588043
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.25,293.00366,99778.69,19.853668
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.5,293.15796,100335.69,20.007965
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.75,292.77124,99998.69,19.621246
