id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset,PWV,formatted_time
1,P8103,2025/06/03 00:00,24.74,111.49,336.0,永州市,河路口,江华瑶族自治县,22.1,100,969.5,19.1,43.2375,train,43.2375,2025-06-03 00:00:00
2,P8062,2025/06/03 00:00,24.8,111.93,437.5,永州市,大锡,江华瑶族自治县,19.94,88,958.0,19.5,44.4996,train,44.4996,2025-06-03 00:00:00
3,P8058,2025/06/03 00:00,24.81,111.54,368.7,永州市,涛圩,江华瑶族自治县,20.35,95,964.8,18.6,45.2923,train,45.2923,2025-06-03 00:00:00
4,P8099,2025/06/03 00:00,24.87,111.7,377.8,永州市,大圩,江华瑶族自治县,22.8,100,964.2,19.6,39.5659,train,39.5659,2025-06-03 00:00:00
5,P8061,2025/06/03 00:00,24.87,111.82,545.4,永州市,蔚竹口,江华瑶族自治县,21.07,99,945.1,18.5,37.134,test,37.134,2025-06-03 00:00:00
6,P8065,2025/06/03 00:00,24.88,111.51,321.9,永州市,大石桥,江华瑶族自治县,21.3,94,974.8,19.5,40.8873,train,40.8873,2025-06-03 00:00:00
7,P8057,2025/06/03 00:00,24.92,112.02,321.9,永州市,码市,江华瑶族自治县,21.16,90,970.4,20.1,44.4158,train,44.4158,2025-06-03 00:00:00
8,P8054,2025/06/03 00:00,24.93,111.53,276.0,永州市,白芒营,江华瑶族自治县,22.94,100,976.1,19.7,42.8821,train,42.8821,2025-06-03 00:00:00
9,P8049,2025/06/03 00:00,24.95,111.81,318.2,永州市,水口贝江,江华瑶族自治县,22.0,93,970.3,20.2,35.25,train,35.25,2025-06-03 00:00:00
10,P8697,2025/06/03 00:00,24.95,112.93,1253.0,郴州市,林子坪水库,宜章县,17.09,99,870.8,15.2,30.7909,test,30.7909,2025-06-03 00:00:00
11,P8055,2025/06/03 00:00,24.98,111.73,315.4,永州市,小圩清塘,江华瑶族自治县,9.76,41,971.3,20.3,15.4993,train,15.4993,2025-06-03 00:00:00
12,P8005,2025/06/03 00:00,25.0,111.07,327.2,永州市,源口,江永县,23.08,100,970.2,19.8,38.5322,train,38.5322,2025-06-03 00:00:00
13,P8052,2025/06/03 00:00,25.03,111.68,340.9,永州市,花江洞,江华瑶族自治县,22.06,95,968.3,19.9,36.7021,train,36.7021,2025-06-03 00:00:00
14,P8051,2025/06/03 00:00,25.04,111.53,245.8,永州市,大路铺,江华瑶族自治县,20.97,92,980.1,19.6,45.4621,train,45.4621,2025-06-03 00:00:00
15,P8098,2025/06/03 00:00,25.05,111.58,278.0,永州市,桥市,江华瑶族自治县,20.46,92,974.1,19.2,48.1572,test,48.1572,2025-06-03 00:00:00
16,P8006,2025/06/03 00:00,25.06,111.13,251.7,永州市,大地坪,江永县,22.53,97,980.2,19.9,52.3479,train,52.3479,2025-06-03 00:00:00
17,P8003,2025/06/03 00:00,25.1,111.18,287.2,永州市,勾兰瑶寨,江永县,21.03,90,977.0,20.0,46.6178,train,46.6178,2025-06-03 00:00:00
18,P8696,2025/06/03 00:00,25.1,112.81,277.0,郴州市,天塘,宜章县,22.29,99,977.5,19.4,49.3117,train,49.3117,2025-06-03 00:00:00
19,P8015,2025/06/03 00:00,25.12,111.04,233.0,永州市,云雾山,江永县,21.85,89,981.6,20.8,43.5122,train,43.5122,2025-06-03 00:00:00
20,P8004,2025/06/03 00:00,25.12,111.47,443.1,永州市,松柏,江永县,19.45,88,957.6,19.1,34.9056,test,34.9056,2025-06-03 00:00:00
