Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV
57264,2025/6/3 0:00,32.43,111.02,1017.5,十堰市,武当山,丹江口市,12.14,51,897.8,20.3,19.2105
57351,2025/6/3 0:00,30.83,111.02,231,宜昌市,坛子岭,夷陵区,21.69,100,982.7,18.8,59.2455
57352,2025/6/3 0:00,30.81,111,185.3,宜昌市,三斗坪,夷陵区,20.17,93,987.9,18.8,41.4015
57353,2025/6/3 0:00,30.84,111.02,191.8,宜昌市,苏家坳,夷陵区,21.56,94,987.2,19.7,53.9625
57354,2025/6/3 0:00,31.46,110.27,2948.1,省直辖县级行政区划,神农顶,神农架林区,5.97,63,714.2,6.2,7.943
57367,2025/6/3 0:00,31.08,110.94,1910,宜昌市,大老岭,夷陵区,8.31,52,808.4,14,14.7995
57451,2025/6/3 0:00,30.81,110.25,1813.5,恩施土家族苗族自治州,绿葱坡,巴东县,7.47,45,818,14.6,20.7175
57544,2025/6/3 0:00,29.46,109.44,478.6,湘西土家族苗族自治州,龙山,龙山县,20.74,91,954.8,19.6,42.104
57554,2025/6/3 0:00,29.4,110.16,318.8,张家界市,桑植,桑植县,21.23,92,972.6,19.8,37.4333
57558,2025/6/3 0:00,29.12,110.42,218.5,张家界市,张家界,永定区,22.71,99,983.8,19.7,52.8881
57562,2025/6/3 0:00,29.58,111.36,116.9,常德市,石门,石门县,21.8,81,994.6,22.3,45.5692
57564,2025/6/3 0:00,29.43,111.09,168.7,张家界市,慈利,慈利县,23.66,94,988.1,21.2,53.4638
57565,2025/6/3 0:00,29.67,111.73,38.1,常德市,澧县,澧县,23.45,83,1003.6,23.1,42.3446
57566,2025/6/3 0:00,29.47,111.67,86,常德市,临澧,临澧县,24.1,89,997.7,22.4,46.4265
57574,2025/6/3 0:00,29.35,112.43,40.3,益阳市,南县,南县,26.49,99,1003.6,22.2,60.1432
57575,2025/6/3 0:00,29.54,112.6,49.5,岳阳市,华容,华容县,21.94,81,1002.5,22.4,49.2944
57577,2025/6/3 0:00,29.41,112.2,33.6,常德市,安乡,安乡县,25.57,95,1004.3,22.3,48.425
57584,2025/6/3 0:00,29.38,113.09,53,岳阳市,岳阳,岳阳楼区,25.22,92,1002.4,22.6,47.0123
57585,2025/6/3 0:00,29.48,113.45,60.4,岳阳市,临湘,临湘市,23.95,94,1001.2,21.4,57.9879
57587,2025/6/3 0:00,29.19,113.11,48.4,岳阳市,洞庭湖,岳阳县,23.51,94,1002.7,21.1,39.0776
