id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
1,P8103,2025-06-03 00:00:00,24.74,111.49,336.0,永州市,河路口,江华瑶族自治县,22.1,100.0,969.5,19.1,43.2375,train
2,P8062,2025-06-03 00:00:00,24.8,111.93,437.5,永州市,大锡,江华瑶族自治县,19.94,88.0,958.0,19.5,44.4996,train
3,P8058,2025-06-03 00:00:00,24.81,111.54,368.7,永州市,涛圩,江华瑶族自治县,20.35,95.0,964.8,18.6,45.2923,train
4,P8099,2025-06-03 00:00:00,24.87,111.7,377.8,永州市,大圩,江华瑶族自治县,22.8,100.0,964.2,19.6,39.5659,train
5,P8061,2025-06-03 00:00:00,24.87,111.82,545.4,永州市,蔚竹口,江华瑶族自治县,21.07,99.0,945.1,18.5,37.134,train
6,P8065,2025-06-03 00:00:00,24.88,111.51,321.9,永州市,大石桥,江华瑶族自治县,21.3,94.0,974.8,19.5,40.8873,train
7,P8057,2025-06-03 00:00:00,24.92,112.02,321.9,永州市,码市,江华瑶族自治县,21.16,90.0,970.4,20.1,44.4158,train
8,P8054,2025-06-03 00:00:00,24.93,111.53,276.0,永州市,白芒营,江华瑶族自治县,22.94,100.0,976.1,19.7,42.8821,train
9,P8049,2025-06-03 00:00:00,24.95,111.81,318.2,永州市,水口贝江,江华瑶族自治县,22.0,93.0,970.3,20.2,35.25,train
12,P8005,2025-06-03 00:00:00,25.0,111.07,327.2,永州市,源口,江永县,23.08,100.0,970.2,19.8,38.5322,train
13,P8052,2025-06-03 00:00:00,25.03,111.68,340.9,永州市,花江洞,江华瑶族自治县,22.06,95.0,968.3,19.9,36.7021,train
14,P8051,2025-06-03 00:00:00,25.04,111.53,245.8,永州市,大路铺,江华瑶族自治县,20.97,92.0,980.1,19.6,45.4621,train
15,P8098,2025-06-03 00:00:00,25.05,111.58,278.0,永州市,桥市,江华瑶族自治县,20.46,92.0,974.1,19.2,48.1572,train
16,P8006,2025-06-03 00:00:00,25.06,111.13,251.7,永州市,大地坪,江永县,22.53,97.0,980.2,19.9,52.3479,train
17,P8003,2025-06-03 00:00:00,25.1,111.18,287.2,永州市,勾兰瑶寨,江永县,21.03,90.0,977.0,20.0,46.6178,train
18,P8696,2025-06-03 00:00:00,25.1,112.81,277.0,郴州市,天塘,宜章县,22.29,99.0,977.5,19.4,49.3117,train
19,P8015,2025-06-03 00:00:00,25.12,111.04,233.0,永州市,云雾山,江永县,21.85,89.0,981.6,20.8,43.5122,train
21,P8105,2025-06-03 00:00:00,25.13,111.37,388.1,永州市,李家塘,江永县,22.1,100.0,963.5,19.1,43.2375,train
22,P8690,2025-06-03 00:00:00,25.14,112.74,288.0,郴州市,黄沙,宜章县,22.66,100.0,974.8,19.5,51.8915,train
23,P7999,2025-06-03 00:00:00,25.17,111.34,336.1,永州市,回龙圩,江永县,19.83,87.0,969.6,19.6,41.1775,train
24,P8101,2025-06-03 00:00:00,25.17,111.66,226.0,永州市,涔天河水东,江华瑶族自治县,21.61,96.0,979.8,19.4,37.8204,train
25,P8648,2025-06-03 00:00:00,25.17,112.63,343.2,郴州市,邹家,临武县,21.1,92.0,969.7,19.7,27.0608,train
