id,Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
1,P8103,2025-06-03 20:00:00,24.74,111.49,336.0,永州市,河路口,江华瑶族自治县,21.82,100,969.6,18.9,41.7073,train
2,P8062,2025-06-03 20:00:00,24.8,111.93,437.5,永州市,大锡,江华瑶族自治县,20.09,98,958.2,17.9,45.4141,train
3,P8058,2025-06-03 20:00:00,24.81,111.54,368.7,永州市,涛圩,江华瑶族自治县,20.82,96,964.9,18.8,42.9796,train
4,P8099,2025-06-03 20:00:00,24.87,111.7,377.8,永州市,大圩,江华瑶族自治县,22.1,100,964.3,19.1,43.2375,train
5,P8061,2025-06-03 20:00:00,24.87,111.82,545.4,永州市,蔚竹口,江华瑶族自治县,19.96,98,945.4,17.8,43.4205,test
6,P8065,2025-06-03 20:00:00,24.88,111.51,321.9,永州市,大石桥,江华瑶族自治县,20.65,97,974.8,18.5,44.396,train
7,P8057,2025-06-03 20:00:00,24.92,112.02,321.9,永州市,码市,江华瑶族自治县,20.39,97,970.6,18.3,48.3342,train
8,P8054,2025-06-03 20:00:00,24.93,111.53,276.0,永州市,白芒营,江华瑶族自治县,22.1,100,976.0,19.1,48.8054,train
9,P8049,2025-06-03 20:00:00,24.95,111.81,318.2,永州市,水口贝江,江华瑶族自治县,21.83,94,970.5,19.9,37.2146,train
10,P8697,2025-06-03 20:00:00,24.95,112.93,1253.0,郴州市,林子坪水库,宜章县,17.09,99,871.1,15.2,30.7909,test
11,P8055,2025-06-03 20:00:00,24.98,111.73,315.4,永州市,小圩清塘,江华瑶族自治县,9.91,46,971.4,18.7,18.2849,train
12,P8005,2025-06-03 20:00:00,25.0,111.07,327.2,永州市,源口,江永县,23.37,100,970.3,20.0,38.3456,train
13,P8052,2025-06-03 20:00:00,25.03,111.68,340.9,永州市,花江洞,江华瑶族自治县,20.89,100,968.6,18.2,37.8353,train
14,P8051,2025-06-03 20:00:00,25.04,111.53,245.8,永州市,大路铺,江华瑶族自治县,21.25,98,980.0,18.8,45.0934,train
15,P8098,2025-06-03 20:00:00,25.05,111.58,278.0,永州市,桥市,江华瑶族自治县,19.76,97,974.0,17.8,42.9065,test
16,P8006,2025-06-03 20:00:00,25.06,111.13,251.7,永州市,大地坪,江永县,21.57,97,980.2,19.2,50.9619,train
17,P8003,2025-06-03 20:00:00,25.1,111.18,287.2,永州市,勾兰瑶寨,江永县,21.52,98,976.9,19.0,47.5855,train
18,P8696,2025-06-03 20:00:00,25.1,112.81,277.0,郴州市,天塘,宜章县,23.77,98,976.9,20.6,48.6937,train
19,P8015,2025-06-03 20:00:00,25.12,111.04,233.0,永州市,云雾山,江永县,20.68,99,981.5,18.2,43.8245,train
20,P8004,2025-06-03 20:00:00,25.12,111.47,443.1,永州市,松柏,江永县,19.26,97,957.8,17.4,42.4181,test
21,P8105,2025-06-03 20:00:00,25.13,111.37,388.1,永州市,李家塘,江永县,21.15,100,963.7,18.4,38.5079,train
22,P8690,2025-06-03 20:00:00,25.14,112.74,288.0,郴州市,黄沙,宜章县,22.66,100,974.3,19.5,49.263,train
23,P7999,2025-06-03 20:00:00,25.17,111.34,336.1,永州市,回龙圩,江永县,18.5,88,969.6,18.3,35.4218,train
24,P8101,2025-06-03 20:00:00,25.17,111.66,226.0,永州市,涔天河水东,江华瑶族自治县,21.12,95,979.8,19.2,48.4652,train
25,P8648,2025-06-03 20:00:00,25.17,112.63,343.2,郴州市,邹家,临武县,19.63,97,969.6,17.7,42.6645,test
26,59063,2025-06-03 20:00:00,25.18,111.57,265.7,永州市,江华,江华瑶族自治县,22.34,95,977.4,20.1,59.7644,train
27,P8064,2025-06-03 20:00:00,25.18,111.9,854.3,永州市,香草源,江华瑶族自治县,16.27,98,911.5,14.6,36.7231,train
28,P8699,2025-06-03 20:00:00,25.19,112.85,216.0,郴州市,一六,宜章县,23.66,100,983.7,20.2,55.0283,train
29,P7996,2025-06-03 20:00:00,25.2,111.18,335.7,永州市,汉江源水库,江永县,21.69,100,969.5,18.8,39.965,train
30,P7901,2025-06-03 20:00:00,25.23,111.9,1123.1,永州市,紫金锂业,道县,15.81,91,884.7,15.3,33.9178,test
31,P8701,2025-06-03 20:00:00,25.24,112.95,243.2,郴州市,栗源,宜章县,22.59,92,979.7,20.8,49.0656,train
32,P7946,2025-06-03 20:00:00,25.25,112.26,615.5,永州市,浆洞,蓝山县,17.25,98,939.4,15.5,34.5462,train
33,57978,2025-06-03 20:00:00,25.27,112.55,292.0,郴州市,临武,临武县,21.2,99,974.6,18.6,34.4335,train
