id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,True_PWV,dataset,Interpolated_PWV
10,P8697,2025-06-03,24.95,112.93,1253.0,郴州市,林子坪水库,宜章县,17.09,99,870.8,15.2,30.7909,test,44.272913661662585
20,P8004,2025-06-03,25.12,111.47,443.1,永州市,松柏,江永县,19.45,88,957.6,19.1,34.9056,test,44.11008393911162
30,P7901,2025-06-03,25.23,111.9,1123.1,永州市,紫金锂业,道县,16.5,100,883.9,14.5,28.8064,test,43.95485060372873
40,P7992,2025-06-03,25.35,111.45,213.0,永州市,上江圩,江永县,21.98,97,984.6,19.5,46.9608,test,45.0670013623064
50,P8754,2025-06-03,25.44,113.49,615.0,郴州市,延寿,汝城县,19.83,98,939.6,17.7,35.604,test,42.57529691841142
60,P7906,2025-06-03,25.51,111.65,160.0,永州市,齐心,道县,21.66,91,987.1,20.3,45.2487,test,46.45784389721394
70,P8086,2025-06-03,25.55,111.7,168.0,永州市,白马渡,道县,22.48,98,986.4,19.7,50.4257,test,46.78328891146671
80,P8442,2025-06-03,25.61,113.04,350.6,郴州市,百丈,苏仙区,21.15,100,968.1,18.4,45.9601,test,45.1920290241844
90,P8409,2025-06-03,25.65,112.73,263.7,郴州市,地界,桂阳县,22.11,97,978.2,19.6,42.4651,test,43.74563338089512
100,P7734,2025-06-03,25.7,111.64,315.0,永州市,塘于洞,双牌县,21.3,94,973.6,19.5,42.8852,test,46.36284557100188
110,P8760,2025-06-03,25.74,113.66,422.2,郴州市,淇岭,汝城县,21.27,91,958.4,20.0,32.9838,test,38.80292360382163
120,P8314,2025-06-03,25.78,112.5,145.0,郴州市,飞仙,桂阳县,23.62,98,991.6,20.5,47.522,test,44.991621847696535
130,P7779,2025-06-03,25.83,111.99,247.4,永州市,柏家坪,宁远县,21.37,92,978.8,19.9,41.5373,test,45.19451860907697
140,P7803,2025-06-03,25.94,111.95,367.0,永州市,刘家坪,宁远县,21.03,90,970.8,20.0,46.4843,test,44.68601938411941
150,P8390,2025-06-03,25.99,113.01,99.0,郴州市,栖凤渡,苏仙区,21.67,83,994.6,21.8,45.8602,test,49.03809913382344
160,P8403,2025-06-03,26.06,112.63,286.6,郴州市,桥市,桂阳县,21.14,83,975.7,21.4,47.9376,test,44.97253681789257
170,P7721,2025-06-03,26.11,111.81,234.0,永州市,茶林,双牌县,20.25,84,981.8,20.5,35.6562,test,46.42757521862711
180,57845,2025-06-03,26.16,109.78,400.2,怀化市,通道,通道侗族自治县,19.57,88,963.5,19.2,49.1,test,40.06943253677857
190,P8238,2025-06-03,26.21,113.2,178.0,郴州市,涌水,永兴县,21.63,87,986.4,21.0,41.2347,test,50.46288708125077
200,P7232,2025-06-03,26.24,112.96,112.0,衡阳市,上堡,耒阳市,23.44,85,995.3,22.7,49.9044,test,48.15960636162109
210,P7235,2025-06-03,26.29,112.92,210.4,衡阳市,易成,耒阳市,21.4,84,986.0,21.4,37.8646,test,48.50582060470051
220,P3739,2025-06-03,26.35,109.77,382.8,怀化市,下寨,通道侗族自治县,20.78,97,966.9,18.6,38.0506,test,40.73371242001664
230,P8077,2025-06-03,26.37,111.87,119.9,永州市,大忠桥政府,祁阳市,24.86,97,994.3,21.5,49.0268,test,46.72774970024848
240,57867,2025-06-03,26.4,111.29,174.9,永州市,东安,东安县,21.63,87,988.9,21.0,49.7,test,47.632053887836754
250,57876,2025-06-03,26.43,112.83,138.0,衡阳市,耒阳,耒阳市,21.87,88,992.7,21.0,52.6,test,49.843189986887246
260,P7634,2025-06-03,26.46,111.89,95.6,永州市,东泉,祁阳市,23.12,93,996.4,21.0,56.4399,test,46.896513368791965
270,P7236,2025-06-03,26.49,112.89,93.9,衡阳市,架江,耒阳市,22.06,85,997.7,21.7,47.4926,test,50.693354484542695
280,P7233,2025-06-03,26.51,113.12,195.9,衡阳市,通林,耒阳市,21.85,89,985.2,20.8,53.3872,test,51.00025208062581
290,57868,2025-06-03,26.55,111.86,163.3,永州市,祁阳,祁阳市,22.48,91,989.7,20.9,49.7451,test,46.67247269405794
300,P7230,2025-06-03,26.58,112.78,95.2,衡阳市,围塘,耒阳市,22.75,84,997.5,22.4,50.1472,test,50.19770930767783
310,P8683,2025-06-03,26.61,113.34,129.5,郴州市,牌楼,安仁县,22.03,87,993.2,21.3,46.6351,test,49.56630396794776
320,P5816,2025-06-03,26.64,113.5,176.3,株洲市,花甲,茶陵县,24.55,100,986.7,20.8,59.9736,test,46.39296223338476
330,P5875,2025-06-03,26.67,113.82,198.2,株洲市,春风,茶陵县,20.61,85,984.3,20.6,39.9548,test,42.25252693374941
340,P7108,2025-06-03,26.7,112.17,106.1,衡阳市,金桥,祁东县,22.26,89,994.2,21.1,44.0233,test,47.7737045149991
350,P7160,2025-06-03,26.73,112.31,118.0,衡阳市,柞市,衡南县,23.66,94,995.0,21.2,55.3347,test,48.381780066433365
360,P5857,2025-06-03,26.75,113.57,131.3,株洲市,米筛坪,茶陵县,25.17,100,992.1,21.2,58.6657,test,44.930604342268325
370,P7117,2025-06-03,26.78,111.93,158.9,衡阳市,白地市,祁东县,21.93,91,990.0,20.5,49.778,test,47.15431771772788
380,P6474,2025-06-03,26.81,110.34,472.0,邵阳市,唐家坊,绥宁县,21.74,99,956.4,19.0,40.2222,test,34.106873581005914
390,P7152,2025-06-03,26.84,112.37,95.8,衡阳市,谭子山,衡南县,22.19,85,997.1,21.8,48.983,test,46.97076108218343
400,P7155,2025-06-03,26.88,112.77,104.0,衡阳市,泉溪,衡南县,22.69,93,996.5,20.7,48.9729,test,50.836925200431054
410,P5806,2025-06-03,26.91,113.66,130.3,株洲市,腰陂,茶陵县,25.17,100,992.0,21.2,48.3454,test,42.13658228647617
420,P6309,2025-06-03,26.94,110.67,297.0,邵阳市,高沙,洞口县,22.37,100,973.0,19.3,42.1434,test,39.220770499632565
430,P6919,2025-06-03,26.96,112.57,45.5,衡阳市,农气实验基地,石鼓区,21.14,83,1001.3,21.4,50.7662,test,48.37584886569146
440,P5804,2025-06-03,26.98,113.3,63.0,株洲市,桐坝电站,攸县,25.9,98,999.0,22.0,54.8129,test,47.71847836042649
450,57758,2025-06-03,27.03,110.61,342.2,邵阳市,洞口,洞口县,21.96,100,969.8,19.0,46.5,test,38.40961587022587
460,P6457,2025-06-03,27.07,111.79,282.6,邵阳市,简家陇镇双河,邵东市,22.66,100,976.3,19.5,38.6544,test,43.858287098726855
470,57767,2025-06-03,27.11,111.03,310.8,邵阳市,隆回,隆回县,20.04,89,973.3,19.4,44.6,test,40.45285972508043
480,P5792,2025-06-03,27.14,113.23,97.5,株洲市,桃水,攸县,21.8,83,995.1,21.9,48.9867,test,45.75683846426742
490,P3871,2025-06-03,27.18,109.13,437.0,怀化市,扶罗,新晃侗族自治县,20.3,93,960.8,18.9,33.4128,test,42.08822510756573
500,P6391,2025-06-03,27.21,111.45,210.0,邵阳市,雷达站,大祥区,22.94,100,978.7,19.7,45.2955,test,41.43915227632669
510,P5790,2025-06-03,27.22,113.8,402.5,株洲市,老漕,攸县,21.28,100,959.7,18.5,40.9079,test,43.430533919758254
520,P6214,2025-06-03,27.26,111.15,312.0,邵阳市,滩头,隆回县,21.82,100,971.5,18.9,38.1141,test,39.8023809160436
530,P5775,2025-06-03,27.31,113.62,161.9,株洲市,山关水库,攸县,23.91,98,988.9,20.7,49.7675,test,45.50755989700354
540,P3849,2025-06-03,27.34,109.91,240.0,怀化市,牌楼,中方县,22.15,99,982.3,19.3,49.1486,test,44.92552386134368
550,P6260,2025-06-03,27.37,111.67,294.1,邵阳市,潭府,新邵县,20.99,98,974.5,18.6,31.7516,test,42.527022817083534
560,P6264,2025-06-03,27.4,111.27,277.3,邵阳市,巨口铺,新邵县,22.51,100,974.8,19.4,56.4702,test,41.62028172168182
570,P4669,2025-06-03,27.43,112.11,83.5,娄底市,岳家,双峰县,22.81,97,996.2,20.1,47.1496,test,45.25643310707552
580,P4200,2025-06-03,27.46,109.95,236.0,怀化市,中方站,中方县,20.97,92,981.9,19.6,46.04,test,45.069129188934944
590,P5760,2025-06-03,27.49,113.6,55.4,株洲市,大广塘水库,醴陵市,26.11,100,998.6,21.8,46.1143,test,45.61413657160235
600,P6201,2025-06-03,27.53,110.77,1350.0,邵阳市,小沙江,隆回县,14.17,78,861.9,16.0,32.9722,test,38.81856516585211
610,P4852,2025-06-03,27.56,112.92,68.2,湘潭市,中路铺水库,湘潭县,20.89,82,1000.2,21.4,44.3916,test,47.709060836052224
620,P4573,2025-06-03,27.59,111.9,146.8,娄底市,荷塘,涟源市,21.29,90,989.7,20.2,47.7761,test,44.033872029834384
630,P4576,2025-06-03,27.62,111.62,281.2,娄底市,谢家,涟源市,22.15,99,981.8,19.3,48.2726,test,44.07530015966804
640,P4846,2025-06-03,27.64,112.34,82.0,湘潭市,洋潭电站,湘乡市,21.69,90,999.1,20.5,49.3983,test,45.26419409631554
650,P5748,2025-06-03,27.66,113.16,68.0,株洲市,南洲,渌口区,21.99,89,1000.6,20.9,52.746,test,47.40862287481078
660,57763,2025-06-03,27.69,112.0,155.5,娄底市,娄底,娄底市,20.47,86,984.9,20.3,44.5,test,45.96448421608999
670,P4577,2025-06-03,27.72,111.77,108.0,娄底市,湖泉,涟源市,21.96,90,993.7,20.7,37.659,test,45.42669691452598
680,P5734,2025-06-03,27.74,113.11,39.0,株洲市,湘云,天元区,21.14,84,1003.9,21.2,45.3419,test,46.47687730879072
690,P4611,2025-06-03,27.77,112.07,77.0,娄底市,春园中学,娄星区,22.55,93,995.3,20.6,46.4056,test,45.65821315207328
700,P4435,2025-06-03,27.79,111.06,504.0,娄底市,古台山林场,新化县,17.57,81,948.4,18.8,33.1517,test,42.02223378836887
710,P5721,2025-06-03,27.81,113.08,63.0,株洲市,栗雨,天元区,21.64,86,1001.2,21.2,50.1068,test,46.45297302715766
720,P5716,2025-06-03,27.83,113.47,200.6,株洲市,横江,醴陵市,20.44,88,984.8,19.9,36.9919,test,45.6560484641884
730,P3761,2025-06-03,27.86,109.92,233.6,怀化市,和平溪,麻阳苗族自治县,21.96,100,981.6,19.0,46.3371,test,44.09051069706677
740,P4079,2025-06-03,27.88,110.73,535.2,怀化市,桥江镇新田,溆浦县,20.11,100,949.5,17.6,43.6693,test,43.71295552926146
750,P3759,2025-06-03,27.89,109.89,162.9,怀化市,兰里,麻阳苗族自治县,22.8,100,990.9,19.6,49.1482,test,44.1977240454433
760,P1368,2025-06-03,27.92,109.61,322.0,湘西土家族苗族自治州,古城,凤凰县,22.1,100,969.6,19.1,41.0475,test,41.18363136782165
770,P5705,2025-06-03,27.94,113.25,115.0,株洲市,仙庾岭,荷塘区,21.96,90,997.6,20.7,48.328,test,45.96509096809409
780,P5707,2025-06-03,27.96,113.17,63.0,株洲市,龙头铺,石峰区,22.8,94,1001.7,20.6,51.1032,test,46.10972433357523
790,P5140,2025-06-03,27.99,112.98,31.0,长沙市,兴马洲,天心区,20.74,78,1004.3,22.1,41.0769,test,45.8975053622438
800,P5499,2025-06-03,28.01,112.98,51.0,长沙市,花园岭,天心区,22.98,93,1001.9,20.9,47.5992,test,45.894762943481744
810,P2915,2025-06-03,28.04,111.09,221.9,益阳市,平口水厂,安化县,22.34,98,985.3,19.6,51.0517,test,44.24470198296624
820,P5305,2025-06-03,28.07,112.92,39.0,长沙市,巴溪洲,岳麓区,23.47,95,1004.3,20.9,48.9801,test,44.94017077157386
830,P1348,2025-06-03,28.1,109.6,337.4,湘西土家族苗族自治州,吉信,凤凰县,17.67,83,969.3,18.5,40.6708,test,38.9256679034609
840,P5420,2025-06-03,28.12,112.98,79.0,长沙市,天心区政府,天心区,21.54,82,999.2,21.9,44.9574,test,45.22809755896108
850,P5500,2025-06-03,28.14,112.99,91.0,长沙市,林科大,天心区,20.76,80,997.7,21.7,37.1955,test,45.18942741711644
860,P5332,2025-06-03,28.17,113.1,37.0,长沙市,敢胜,长沙县,22.07,82,1004.2,22.3,44.4473,test,43.942218111168685
870,P5440,2025-06-03,28.19,113.02,41.0,长沙市,荷花园,芙蓉区,23.99,87,1004.6,22.7,54.5825,test,44.76200414981838
880,P1438,2025-06-03,28.21,109.67,261.4,湘西土家族苗族自治州,高新区,吉首市,26.59,97,976.1,22.6,48.8953,test,42.46237535291656
890,P5266,2025-06-03,28.22,112.11,242.0,长沙市,石龙洞,宁乡市,21.48,96,980.3,19.3,53.9574,test,41.75905710660151
900,P5653,2025-06-03,28.23,113.01,38.0,长沙市,马栏山,开福区,21.09,76,1003.9,22.8,39.9415,test,44.59259963615684
910,57678,2025-06-03,28.25,112.54,60.9,长沙市,宁乡,宁乡市,22.3,87,999.6,21.5,44.5,test,41.39866122758476
920,P1016,2025-06-03,28.28,109.68,243.7,湘西土家族苗族自治州,红枫林场,吉首市,22.24,100,978.9,19.2,46.4264,test,44.26485034834264
930,P2901,2025-06-03,28.29,111.29,271.2,益阳市,文溪,安化县,20.01,94,975.5,18.5,45.7198,test,46.23297264636766
940,P1441,2025-06-03,28.31,109.77,227.0,湘西土家族苗族自治州,望江坳,吉首市,21.88,96,980.2,19.6,45.3583,test,46.42558776469166
950,P2859,2025-06-03,28.32,112.07,105.0,益阳市,桃花江水库,桃江县,19.28,81,996.0,20.3,34.2075,test,45.72699999998255
960,P5444,2025-06-03,28.34,112.93,52.0,长沙市,金盆丘,开福区,21.25,78,1002.9,22.5,40.2328,test,43.81744277919162
970,P1444,2025-06-03,28.36,109.7,195.1,湘西土家族苗族自治州,龙舞,吉首市,21.88,96,983.6,19.6,49.1906,test,45.69927781069729
980,P2854,2025-06-03,28.39,112.04,175.0,益阳市,罗溪,桃江县,13.14,58,986.1,19.5,16.7011,test,42.642515824259945
990,P5387,2025-06-03,28.41,113.01,88.0,长沙市,蒿塘,长沙县,22.2,84,1000.7,22.0,47.0725,test,42.84255859683441
1000,P5221,2025-06-03,28.43,113.6,145.0,长沙市,石牛,浏阳市,21.29,90,991.3,20.2,43.9323,test,42.9675024142256
1010,P1385,2025-06-03,28.45,109.79,222.1,湘西土家族苗族自治州,冷寨河茶园,保靖县,20.82,96,982.0,18.8,46.6482,test,47.09062015686819
1020,P5175,2025-06-03,28.47,113.33,61.1,长沙市,锦绣,长沙县,22.07,83,1000.2,22.1,46.0182,test,40.13552220067343
1030,P2847,2025-06-03,28.49,111.85,68.0,益阳市,大栗港,桃江县,21.69,90,997.1,20.5,41.1337,test,44.9709323936028
1040,P1101,2025-06-03,28.52,109.59,675.8,湘西土家族苗族自治州,排力,保靖县,19.92,93,930.6,18.6,43.3464,test,47.11654555432602
1050,P5106,2025-06-03,28.53,113.2,119.0,长沙市,福临,长沙县,24.1,100,995.2,20.5,38.7746,test,41.90729705417206
1060,P2850,2025-06-03,28.55,111.97,33.0,益阳市,沾溪,桃江县,22.01,88,1002.4,21.1,27.0998,test,43.07651213775691
1070,57674,2025-06-03,28.57,112.38,49.6,益阳市,赫山,赫山区,21.53,84,994.8,21.5,46.2,test,39.13059977221469
1080,P1113,2025-06-03,28.61,109.35,325.4,湘西土家族苗族自治州,毛沟,保靖县,21.3,97,970.3,19.0,45.1688,test,45.60668958361304
1090,P3589,2025-06-03,28.63,112.81,29.0,岳阳市,城西水管会,湘阴县,24.31,92,1005.3,22.0,52.8735,test,44.30101763020602
1100,P4198,2025-06-03,28.69,110.53,158.0,怀化市,落坪,沅陵县,22.24,100,990.8,19.2,42.7454,test,43.223230099067855
1110,57682,2025-06-03,28.71,113.57,106.9,岳阳市,平江,平江县,24.86,100,996.3,21.0,41.0,test,42.14950672769332
1120,P1372,2025-06-03,28.76,109.85,433.1,湘西土家族苗族自治州,红石林,古丈县,21.12,98,959.1,18.7,44.93,test,43.80548971416869
1130,P4069,2025-06-03,28.8,110.63,150.0,怀化市,大合坪,沅陵县,21.26,95,991.5,19.3,50.1757,test,43.3018537657852
1140,P1098,2025-06-03,28.84,109.26,1225.0,湘西土家族苗族自治州,八面山景区,龙山县,15.74,85,873.0,16.3,33.1842,test,43.78379065844035
1150,P3605,2025-06-03,28.86,112.92,19.2,岳阳市,屈子诗园,市辖区,22.34,83,1005.2,22.3,44.9272,test,45.61045429479039
1160,P2049,2025-06-03,28.91,111.74,40.0,常德市,市二中,武陵区,21.66,84,1001.7,21.6,39.925,test,43.83723684831015
